==============================================================================
  ENGINE PROFILE (iteration-03 parity)  —  flavor='medium_long_b8'
==============================================================================
  backend       : pytorch (reference)
  batch size    : 8
  prompt tokens : 97 (per row, left-padded)
  new tokens    : 128
  prefill       : 57.10 ms
  decode/step   : 56.341 ms  (142.0 tok/s over the batch)
  peak VRAM     : 7.64 GB
  sampling      : temperature=0.7  top_k=50  top_p=0.9
------------------------------------------------------------------------------
  Op table sorted by cuda_time_total (top 100)
------------------------------------------------------------------------------
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       9.275ms         0.62%       9.275ms       1.304us           0 b           0 b           0 b           0 b          7112            --  
void at_cuda_detail::cub::DeviceRadixSortDownsweepKe...         0.00%       0.000us         0.00%       0.000us       0.000us       8.945ms         0.60%       8.945ms      23.295us           0 b           0 b           0 b           0 b           384            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       8.273ms         0.56%       8.273ms      73.862us           0 b           0 b           0 b           0 b           112            --  
                                      aten::multinomial         0.18%      10.013ms         1.00%      56.618ms     442.325us       0.000us         0.00%       8.187ms      63.958us           0 b           0 b      64.00 Kb    -512.56 Mb           128            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.179ms         0.55%       8.179ms       1.533us           0 b           0 b           0 b           0 b          5334            --  
ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       6.503ms         0.44%       6.503ms     232.266us           0 b           0 b           0 b           0 b            28            --  
                                             aten::silu         0.81%      45.913ms         1.36%      76.809ms      28.800us       5.791ms         0.39%       5.791ms       2.171us           0 b           0 b     333.38 Mb     333.38 Mb          2667            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.791ms         0.39%       5.791ms       2.171us           0 b           0 b           0 b           0 b          2667            --  
                                              aten::pow         1.34%      75.814ms         2.01%     113.955ms      21.364us       5.665ms         0.38%       5.665ms       1.062us           0 b           0 b     500.06 Mb     500.06 Mb          5334            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.665ms         0.38%       5.665ms       1.062us           0 b           0 b           0 b           0 b          5334            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       5.652ms         0.38%       5.652ms      44.154us           0 b           0 b           0 b           0 b           128            --  
                                            aten::rsqrt         0.79%      44.459ms         1.33%      75.294ms      14.116us       5.406ms         0.36%       5.406ms       1.014us           0 b           0 b       2.60 Mb       2.60 Mb          5334            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.406ms         0.36%       5.406ms       1.014us           0 b           0 b           0 b           0 b          5334            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.284ms         0.36%       5.284ms       0.991us           0 b           0 b           0 b           0 b          5334            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       5.237ms         0.35%       5.237ms      40.916us           0 b           0 b           0 b           0 b           128            --  
                                             aten::topk         0.18%      10.381ms         0.40%      22.680ms     177.190us       4.643ms         0.31%       4.643ms      36.276us           0 b           0 b     576.00 Kb     572.50 Kb           128            --  
                             Torch-Compiled Region: 7/0         0.00%     103.420us         0.00%     138.480us     138.480us       0.000us         0.00%       4.338ms       4.338ms           0 b           0 b     189.83 Mb     189.83 Mb             1            --  
                                           aten::argmax         0.03%       1.649ms         0.05%       2.786ms      21.765us       2.969ms         0.20%       2.969ms      23.199us           0 b           0 b           0 b           0 b           128            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.969ms         0.20%       2.969ms      23.199us           0 b           0 b           0 b           0 b           128            --  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.40%      22.656ms         0.72%      40.613ms      37.850us       2.197ms         0.15%       2.197ms       2.047us           0 b           0 b           0 b           0 b          1073            --  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us       2.197ms         0.15%       2.197ms       2.047us           0 b           0 b           0 b           0 b          1073            --  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_5         0.29%      16.690ms         0.44%      24.628ms      27.704us       1.789ms         0.12%       1.789ms       2.013us           0 b           0 b           0 b           0 b           889            --  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_5         0.00%       0.000us         0.00%       0.000us       0.000us       1.789ms         0.12%       1.789ms       2.013us           0 b           0 b           0 b           0 b           889            --  
void at_cuda_detail::cub::RadixSortScanBinsKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.781ms         0.12%       1.781ms       4.638us           0 b           0 b           0 b           0 b           384            --  
void at_cuda_detail::cub::DeviceRadixSortUpsweepKern...         0.00%       0.000us         0.00%       0.000us       0.000us       1.644ms         0.11%       1.644ms       4.280us           0 b           0 b           0 b           0 b           384            --  
                                              aten::sum         0.04%       2.375ms         0.07%       3.711ms      28.989us       1.487ms         0.10%       1.487ms      11.618us           0 b           0 b      64.00 Kb      64.00 Kb           128            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.487ms         0.10%       1.487ms      11.618us           0 b           0 b           0 b           0 b           128            --  
void at::native::mbtopk::radixFindKthValues<c10::BFl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.465ms         0.10%       1.465ms       5.724us           0 b           0 b           0 b           0 b           256            --  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us       1.334ms         0.09%       1.334ms      10.425us           0 b           0 b           0 b           0 b           128            --  
triton_poi_fused__scaled_dot_product_flash_attention...         0.22%      12.662ms         0.36%      20.599ms      23.171us       1.237ms         0.08%       1.237ms       1.391us           0 b           0 b           0 b           0 b           889            --  
triton_poi_fused__scaled_dot_product_flash_attention...         0.00%       0.000us         0.00%       0.000us       0.000us       1.237ms         0.08%       1.237ms       1.391us           0 b           0 b           0 b           0 b           889            --  
                                triton_poi_fused_copy_1         0.30%      17.265ms         0.45%      25.215ms      28.111us       1.234ms         0.08%       1.234ms       1.376us           0 b           0 b           0 b           0 b           897            --  
                                triton_poi_fused_copy_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.234ms         0.08%       1.234ms       1.376us           0 b           0 b           0 b           0 b           897            --  
                                 triton_poi_fused_add_7         0.24%      13.408ms         0.38%      21.683ms      24.391us       1.137ms         0.08%       1.137ms       1.279us           0 b           0 b           0 b           0 b           889            --  
                                 triton_poi_fused_add_7         0.00%       0.000us         0.00%       0.000us       0.000us       1.137ms         0.08%       1.137ms       1.279us           0 b           0 b           0 b           0 b           889            --  
                            triton_poi_fused_mul_silu_6         0.23%      13.224ms         0.38%      21.378ms      24.047us       1.042ms         0.07%       1.042ms       1.172us           0 b           0 b           0 b           0 b           889            --  
                            triton_poi_fused_mul_silu_6         0.00%       0.000us         0.00%       0.000us       0.000us       1.042ms         0.07%       1.042ms       1.172us           0 b           0 b           0 b           0 b           889            --  
                                triton_poi_fused_copy_2         0.26%      14.522ms         0.40%      22.529ms      24.894us       1.016ms         0.07%       1.016ms       1.122us           0 b           0 b           0 b           0 b           905            --  
                                triton_poi_fused_copy_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.016ms         0.07%       1.016ms       1.122us           0 b           0 b           0 b           0 b           905            --  
                                              aten::div         0.07%       4.245ms         0.13%       7.300ms      28.517us     941.866us         0.06%     941.866us       3.679us           0 b           0 b     256.00 Mb     256.00 Mb           256            --  
                             Torch-Compiled Region: 4/0         0.02%     957.317us         0.02%       1.346ms     168.262us       0.000us         0.00%     858.922us     107.365us           0 b           0 b      36.38 Mb      36.38 Mb             8            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     853.446us         0.06%     853.446us       3.334us           0 b           0 b           0 b           0 b           256            --  
void at::native::mbtopk::gatherTopK<c10::BFloat16, u...         0.00%       0.000us         0.00%       0.000us       0.000us     772.560us         0.05%     772.560us       6.036us           0 b           0 b           0 b           0 b           128            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     770.409us         0.05%     770.409us       0.744us           0 b           0 b           0 b           0 b          1036            --  
void at::native::(anonymous namespace)::sort_postpro...         0.00%       0.000us         0.00%       0.000us       0.000us     748.329us         0.05%     748.329us       5.846us           0 b           0 b           0 b           0 b           128            --  
                            triton_poi_fused_mul_silu_1         0.01%     329.618us         0.01%     534.798us      19.100us     669.289us         0.05%     669.289us      23.903us           0 b           0 b           0 b           0 b            28            --  
                            triton_poi_fused_mul_silu_1         0.00%       0.000us         0.00%       0.000us       0.000us     669.289us         0.05%     669.289us      23.903us           0 b           0 b           0 b           0 b            28            --  
at::native::(anonymous namespace)::fill_index_and_se...         0.00%       0.000us         0.00%       0.000us       0.000us     643.940us         0.04%     643.940us       5.031us           0 b           0 b           0 b           0 b           128            --  
                                              aten::min         0.06%       3.640ms         0.12%       6.591ms      51.489us     630.086us         0.04%     630.086us       4.923us           0 b           0 b      64.00 Kb           0 b           128            --  
                                         aten::scatter_         0.06%       3.545ms         0.09%       5.095ms      39.804us     622.509us         0.04%     622.509us       4.863us           0 b           0 b           0 b           0 b           128            --  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     622.509us         0.04%     622.509us       4.863us           0 b           0 b           0 b           0 b           128            --  
                                              aten::max         0.05%       2.576ms         0.09%       4.936ms      38.562us     619.398us         0.04%     619.398us       4.839us           0 b           0 b      64.00 Kb           0 b           128            --  
                                               aten::lt         0.14%       8.201ms         0.18%      10.449ms      40.818us     603.402us         0.04%     603.402us       2.357us           0 b           0 b     125.31 Mb     125.31 Mb           256            --  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us     599.235us         0.04%     599.235us       2.341us           0 b           0 b           0 b           0 b           256            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     579.238us         0.04%     579.238us       4.525us           0 b           0 b           0 b           0 b           128            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     569.958us         0.04%     569.958us       4.453us           0 b           0 b           0 b           0 b           128            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.661s
Self CUDA time total: 1.486s

